Building,Trial,k,r,near ax,near ay,near az,far ax,far ay,far az
Building1,1,,,,,,,,
Building1,2,,,,,,,,
Building1,3,,,,,,,,
Building2,1,,,,,,,,
Building2,2,,,,,,,,
Building2,3,,,,,,,,
Building3,1,,,,,,,,
Building3,2,,,,,,,,
Building3,3,,,,,,,,
Building4,1,,,,,,,,
Building4,2,,,,,,,,
Building4,3,,,,,,,,
Building5,1,,,,,,,,
Building5,2,,,,,,,,
Building5,3,,,,,,,,
